Path difference [nm]	Intensity [a.u.]
0	100
48	100
96	100
144	100
192	100
240	100
288	100
336	100
384	100
432	100
480	100
528	100
576	100
624	100
672	100
720	100
768	100
816	100
864	100
912	100
960	100
1008	99.6033
1056	99.9367
1104	98.06
1152	99.7767
1200	100
1248	100
1296	100
1344	100
1392	100
1440	100
1488	100
1536	100
1584	100
1632	100
1680	100
1728	97.3167
1776	100
1824	98.1667
1872	96.26
1920	99.6433
1968	100
2016	100
2064	100
2112	100
2160	100
2208	100
2256	100
2304	100
2352	100
2400	100
2448	94.46
2496	97.6567
2544	100
2592	100
2640	98.6633
2688	100
2736	100
2784	100
2832	100
2880	100
2928	100
2976	100
3024	99.65
3072	97.8367
3120	100
3168	-0.2567
3216	48.9767
3264	-41.2133
3312	13.3267
3360	-26.8967
3408	0.1967
3456	3.62
3504	6.0767
3552	-24.0233
3600	-29.58
3648	29.3467
3696	-25.5633
3744	10.1
3792	-4.63
3840	24.6867
3888	63.28
3936	79.15
3984	95.6233
4032	99.7067
4080	100
4128	96.4933
4176	92.32
4224	79.72
4272	73.3667
4320	67.4167
4368	59.3533
4416	59.3467
4464	65.12
4512	68.5667
4560	79.5733
4608	91.7633
4656	95.27
4704	99.5233
4752	100
4800	97.4933
4848	91.1667
4896	80.8
4944	66.42
4992	60.77
5040	57.8433
5088	57.0433
5136	-0.32
5184	9.1833
5232	27.66
5280	35.39
5328	-4.9467
5376	-20.9433
5424	-9.6133
5472	-0.4767
5520	5.39
5568	-14.1467
5616	-7.0567
5664	17.2067
5712	1.6933
5760	13.3833
5808	44.3367
5856	54.66
5904	59.04
5952	57.5467
6000	55.53
6048	49.7367
6096	42.5867
6144	38.7233
6192	36.2567
6240	33.5
6288	33.7533
6336	37.3
6384	43.7367
6432	51.4767
6480	56.3967
6528	58.9467
6576	60.0267
6624	59.0367
6672	53.1767
6720	49.6233
6768	45.5733
6816	38.1
6864	32.2467
6912	32
6960	33.1167
7008	37.48
7056	45.3433
7104	51.5067
7152	54.25
7200	58.72
7248	60.29
7296	57.6333
7344	52.6567
7392	45.0467
7440	38.11
7488	34.14
7536	32.2033
7584	31.3833
7632	34.8167
7680	37.33
7728	43.96
7776	54.4267
7824	59.9533
7872	61.3833
7920	60.9933
7968	58.3467
8016	47.9567
8064	47.5233
8112	43.28
8160	36.8233
8208	30.7433
8256	31.37
8304	33.67
8352	41.0967
8400	48.14
8448	51.46
8496	56.06
8544	59.71
8592	60.5233
8640	56.5033
8688	51.6267
8736	44.5733
8784	34.05
8832	34.3067
8880	30.9967
8928	30.2567
8976	36.34
9024	42.8267
9072	48.0167
9120	53.9033
9168	61.7067
9216	61.86
9264	62.2267
9312	58.6633
9360	49.2233
9408	42.0733
9456	38.4133
9504	36.04
9552	29.7933
9600	30.4733
9648	32.51
9696	39.63
9744	53.6867
9792	59.91
9840	61.02
9888	63.23
9936	60.9967
9984	57.51
10032	53.13
10080	47.4733
10128	33.59
10176	29.6767
10224	28.6167
10272	30.85
10320	37.21
10368	39.31
10416	45.4467
10464	53.15
10512	60.93
10560	63.2967
10608	62.1433
10656	56.8333
10704	47.9833
10752	45.4467
10800	37.4233
10848	32.19
10896	28.4567
10944	30.0667
10992	34.51
11040	40.2767
11088	53.6667
11136	55.2533
11184	59.6067
11232	63.96
11280	61.62
11328	54.9867
11376	50.2867
11424	43.0867
11472	17.0733
11520	8.9133
11568	9.1467
11616	18.32
11664	-1.9867
11712	2.0767
11760	1.4367
11808	-0.9933
11856	0.2667
11904	0.8767
11952	2.4933
12000	-1.23
12048	-28.6567
12096	3.88
12144	-1.1033
12192	16.8733
12240	-12.65
12288	22.8933
12336	42.1967
12384	56.9633
12432	62.66
12480	64.4467
12528	64.1267
12576	59.66
12624	49.6167
12672	39.8867
12720	34.2067
12768	27.4733
12816	27.29
12864	28.48
12912	30.0533
12960	41.27
13008	52.93
13056	57.1933
13104	61.46
13152	65.1267
13200	61.8833
13248	56.2333
13296	52.2033
13344	41.5133
13392	30.11
13440	28.89
13488	27.01
13536	28.28
13584	36.6867
13632	42.09
13680	46.0833
13728	59.0867
13776	63.6767
13824	65.8233
13872	65.2067
13920	59.1933
13968	51.43
14016	44.07
14064	35.25
14112	28.38
14160	26.0667
14208	26.7133
14256	29.3867
14304	38.35
14352	50.68
14400	58.37
14448	62.21
14496	65.5867
14544	63.4833
14592	59.4633
14640	48.9467
14688	40.5833
14736	31.99
14784	27.9433
14832	25.5767
14880	27.4633
14928	38.78
14976	43.5733
15024	48.9133
15072	57.4467
15120	65.77
15168	66.1133
15216	64.9367
15264	58.05
15312	49.7467
15360	39.5
15408	37.0433
15456	29.2567
15504	25.1567
15552	27.17
15600	34.2933
15648	49.53
15696	55.3733
15744	60.4567
15792	63.0767
15840	67.2433
15888	62.3133
15936	59.3067
15984	55.1067
16032	41.5967
16080	29.58
16128	24.5833
16176	24.1733
16224	32.6167
16272	46.64
16320	46.3933
16368	47.8967
16416	54.3533
16464	66.7733
16512	67.7033
16560	63.11
16608	50.15
16656	43.6333
16704	39.3167
16752	34.1
16800	28.41
16848	25.1033
16896	29.04
16944	35.7133
16992	49.01
17040	60.78
17088	62.68
17136	67.9933
17184	67.9767
17232	61.88
17280	54.2233
17328	43.8467
17376	36.7267
17424	25.31
17472	23.64
17520	23.7433
17568	30.7333
17616	40.7033
17664	50.9733
17712	55.76
17760	66.5933
17808	69.2967
17856	67.0167
17904	65.3567
17952	52.1533
18000	39.45
18048	29.6633
18096	25.74
18144	23.25
18192	29.4667
18240	31.1
18288	34.43
18336	43.27
18384	58.4967
18432	66.7967
18480	69.8333
18528	65.34
18576	59.8267
18624	54.6633
18672	48.4833
18720	36.78
18768	25.7333
18816	22.85
18864	23.2533
18912	26.52
18960	39.9433
19008	46.91
19056	55.18
19104	66.3367
19152	70.2667
19200	68.19
19248	67.18
19296	56.6833
19344	40.1433
19392	35.63
19440	27.3933
19488	21.8333
19536	25.6333
19584	34.1
19632	38.1467
19680	50.2367
19728	63.4
19776	65.32
19824	70.3367
19872	65.7533
19920	57.5
19968	53.2633
20016	43.34
20064	31.9467
20112	23.0433
20160	21.8967
20208	26.8833
20256	40.4
20304	49.6233
20352	54.2033
20400	60.6033
20448	70.48
20496	70.3733
20544	64.4
20592	57.86
20640	50.98
20688	33.4033
20736	27.24
20784	24.5
20832	21.37
20880	27.92
20928	39.5733
20976	44.11
21024	57.8
21072	69.9233
21120	71.2733
21168	71.8233
21216	68.5067
21264	56.32
21312	44.5467
21360	36.06
21408	22.7367
21456	20.7367
21504	21.3367
21552	24.0033
21600	33.13
21648	49.5767
21696	60.0033
21744	68.1033
21792	71.5267
21840	67.2567
21888	66.4133
21936	58.6667
21984	46.19
22032	30.52
22080	22.72
22128	20.3167
22176	22.7667
22224	35.0533
22272	42.7867
22320	47.7233
22368	63.3633
22416	71.0667
22464	72.3833
22512	70.1133
22560	58.4667
22608	44.85
22656	37.4767
22704	31.5333
22752	21.3933
22800	21.7633
22848	28.2767
22896	33.08
22944	46.69
22992	62.7967
23040	68.4667
23088	71.3667
23136	72.03
23184	62.7167
23232	57.1467
23280	47.38
23328	34.7367
23376	22.2667
23424	19.87
23472	21.06
23520	29.03
23568	47.5933
23616	55.12
23664	61.8867
23712	69.9133
23760	72.3567
23808	65.2667
23856	61.63
23904	49.24
23952	28.4667
24000	25.1733
24048	22.0433
24096	19.5467
24144	27.9733
24192	33.59
24240	48.14
24288	56.9233
24336	70.0967
24384	72.5633
24432	72.64
24480	66.3767
24528	42.6033
24576	45.2533
24624	38.1467
24672	23.9067
24720	19.0567
24768	23.8633
24816	26.79
24864	37.7633
24912	55.98
24960	63.7633
25008	67.7033
25056	73.6933
25104	69.7233
25152	62.7367
25200	56.5933
25248	41.8933
25296	27.4167
25344	22.1133
25392	18.4267
25440	21.1233
25488	35.1867
25536	43.25
25584	50.13
25632	64.6967
25680	73.43
25728	72.7967
25776	71.2333
25824	56.9833
25872	44.3933
25920	37.2567
25968	29.3633
26016	19.3067
26064	20.0067
26112	24.0133
26160	31.24
26208	44.0667
26256	60.67
26304	70.17
26352	73.3933
26400	72.9833
26448	63.2067
26496	55.0733
26544	49.04
26592	28.7633
26640	19.4167
26688	18.02
26736	19.7867
26784	28.8033
26832	47.1767
26880	55.78
26928	60.0567
26976	72.2533
27024	74.1033
27072	71.31
27120	62.9033
27168	53.2467
27216	35.3167
27264	30.0767
27312	20.5167
27360	18.3667
27408	27.99
27456	34.23
