Path difference [nm]	Intensity [a.u.]
-28944	51.6233
-28896	51.6167
-28848	51.5667
-28800	51.59
-28752	51.6
-28704	51.6
-28656	51.5233
-28608	51.4433
-28560	51.5933
-28512	51.71
-28464	51.72
-28416	51.6
-28368	51.7133
-28320	51.8033
-28272	51.4033
-28224	51.5233
-28176	51.5
-28128	51.3067
-28080	51.2567
-28032	51.5667
-27984	51.4733
-27936	51.41
-27888	51.6333
-27840	51.4567
-27792	51.5533
-27744	51.6467
-27696	51.5033
-27648	51.4567
-27600	51.4967
-27552	51.4667
-27504	51.38
-27456	51.49
-27408	51.6533
-27360	51.62
-27312	51.6467
-27264	51.5333
-27216	51.76
-27168	51.59
-27120	51.6
-27072	51.3633
-27024	51.45
-26976	51.5667
-26928	51.4
-26880	51.45
-26832	51.67
-26784	51.3933
-26736	51.48
-26688	51.4567
-26640	51.64
-26592	51.63
-26544	51.6967
-26496	51.5133
-26448	51.5367
-26400	51.6267
-26352	51.5367
-26304	51.3967
-26256	51.3033
-26208	51.3267
-26160	51.4567
-26112	51.4767
-26064	51.4067
-26016	51.74
-25968	51.5633
-25920	51.71
-25872	51.5333
-25824	51.7933
-25776	51.6
-25728	51.6167
-25680	51.4033
-25632	51.4567
-25584	51.3967
-25536	51.35
-25488	51.38
-25440	51.45
-25392	51.4567
-25344	51.4067
-25296	51.5633
-25248	51.4833
-25200	51.3667
-25152	51.46
-25104	51.5267
-25056	51.46
-25008	51.6033
-24960	51.4
-24912	51.4733
-24864	51.5967
-24816	51.4267
-24768	51.28
-24720	51.2867
-24672	51.2867
-24624	51.3533
-24576	51.46
-24528	51.2733
-24480	51.4233
-24432	51.6067
-24384	51.6133
-24336	51.5767
-24288	51.7833
-24240	51.29
-24192	51.55
-24144	51.7033
-24096	51.26
-24048	51.37
-24000	51.4067
-23952	51.2933
-23904	51.3767
-23856	51.4367
-23808	51.45
-23760	51.5567
-23712	51.9
-23664	51.61
-23616	51.6267
-23568	51.4867
-23520	51.5133
-23472	51.4133
