Path difference [nm]	Intensity [a.u.]
-20448	59.5433
-20400	59.57
-20352	60.0467
-20304	60.07
-20256	59.5567
-20208	59.62
-20160	59.6267
-20112	59.6933
-20064	59.77
-20016	59.8933
-19968	59.75
-19920	59.5433
-19872	59.8367
-19824	59.8733
-19776	59.4967
-19728	59.76
-19680	59.9267
-19632	59.7967
-19584	59.5933
-19536	59.8533
-19488	59.7667
-19440	59.6133
-19392	59.5567
-19344	59.5267
-19296	59.48
-19248	59.7067
-19200	59.6267
-19152	59.9433
-19104	59.8367
-19056	59.65
-19008	59.4867
-18960	59.72
-18912	59.5733
-18864	59.62
-18816	59.7167
-18768	59.65
-18720	59.6033
-18672	59.71
-18624	59.7033
-18576	59.7767
-18528	59.7167
-18480	59.5733
-18432	59.42
-18384	59.6133
-18336	59.58
-18288	59.74
-18240	59.6
-18192	59.5433
-18144	59.4433
-18096	59.5533
-18048	59.7167
-18000	59.71
-17952	59.7767
-17904	59.56
-17856	59.4367
-17808	59.63
-17760	59.67
-17712	59.92
-17664	59.8033
-17616	59.3
-17568	59.4233
-17520	59.8567
-17472	60.0267
-17424	59.58
-17376	59.5067
-17328	59.2567
-17280	59.7267
-17232	59.5867
-17184	59.5567
-17136	59.5567
-17088	59.5467
-17040	59.6633
-16992	59.63
-16944	59.7233
-16896	59.87
-16848	59.7133
-16800	59.43
-16752	59.45
-16704	59.7333
-16656	59.8167
-16608	59.6133
-16560	59.6767
-16512	59.5
-16464	59.33
-16416	59.8
-16368	59.5567
-16320	59.6467
-16272	59.6833
-16224	59.3733
-16176	59.47
-16128	59.6033
-16080	59.6567
-16032	59.56
-15984	59.5833
-15936	59.46
-15888	59.71
-15840	59.5233
-15792	59.7733
-15744	59.6367
-15696	59.42
-15648	59.3867
-15600	59.6267
-15552	59.4833
-15504	59.4967
-15456	59.5767
-15408	59.2433
-15360	59.6167
-15312	59.42
-15264	59.4967
-15216	59.5633
-15168	59.7967
-15120	59.3433
-15072	59.5167
-15024	59.5133
-14976	59.6167
-14928	59.5533
-14880	59.4667
-14832	59.59
-14784	59.7233
-14736	59.55
-14688	59.6733
-14640	59.7133
-14592	59.6067
-14544	59.6167
-14496	59.6533
-14448	59.5833
-14400	59.47
-14352	59.5167
-14304	59.7
-14256	59.41
-14208	59.5133
-14160	59.7767
-14112	59.7033
-14064	59.5133
-14016	59.55
-13968	59.49
-13920	59.79
-13872	59.6867
-13824	59.81
-13776	59.5467
-13728	59.5033
-13680	59.52
-13632	59.6767
-13584	59.7667
-13536	59.8033
-13488	59.62
-13440	59.4433
-13392	59.6833
-13344	59.7433
-13296	59.6367
-13248	59.5733
-13200	59.6333
-13152	59.29
-13104	59.51
-13056	59.43
-13008	59.7633
-12960	59.4567
-12912	59.6167
-12864	59.63
-12816	59.71
-12768	59.65
-12720	59.8333
-12672	59.4833
-12624	59.3067
-12576	59.3233
-12528	59.4967
-12480	59.6467
-12432	59.5933
-12384	59.74
-12336	59.4833
-12288	59.6367
-12240	59.5133
-12192	59.6267
-12144	59.6467
-12096	59.49
-12048	59.4433
-12000	59.3933
-11952	59.4767
-11904	59.5967
-11856	59.75
-11808	59.4967
-11760	59.76
-11712	59.56
-11664	59.7867
-11616	59.7167
-11568	59.45
-11520	59.3233
-11472	59.4367
-11424	59.56
-11376	59.64
-11328	59.66
-11280	59.6767
-11232	59.7333
-11184	59.7767
-11136	59.6867
-11088	59.5
-11040	59.4467
-10992	59.4467
-10944	59.2367
-10896	59.5533
-10848	59.4467
-10800	59.4733
-10752	59.9067
-10704	59.6467
-10656	59.8533
-10608	59.7333
-10560	59.7133
-10512	59.43
-10464	59.3433
-10416	59.0633
-10368	59.51
-10320	59.55
-10272	59.7067
-10224	59.79
-10176	59.7867
-10128	59.72
-10080	59.9
-10032	59.8167
-9984	59.3567
-9936	59.2367
-9888	59.0167
-9840	59.1133
-9792	59.39
-9744	59.8933
-9696	59.69
-9648	59.94
-9600	59.9067
-9552	60.02
-9504	60.07
-9456	60.04
-9408	59.31
-9360	59.0033
-9312	58.93
-9264	59.1233
-9216	59.32
-9168	59.8567
-9120	59.78
-9072	59.9167
-9024	60.1967
-8976	59.9033
-8928	59.7667
-8880	59.16
-8832	58.87
-8784	58.73
-8736	59.0667
-8688	59.18
-8640	59.89
-8592	60.01
-8544	60.21
-8496	60.32
-8448	60.2767
-8400	59.6767
-8352	59.4033
-8304	58.73
-8256	58.3033
-8208	58.6467
-8160	59.07
-8112	59.5833
-8064	60.39
-8016	60.41
-7968	60.5467
-7920	60.3767
-7872	59.45
-7824	58.8033
-7776	58.5333
-7728	58.05
-7680	58.6433
-7632	58.9633
-7584	59.7833
-7536	59.9667
-7488	60.7433
-7440	60.7967
-7392	60.73
-7344	60.13
-7296	58.76
-7248	58.2133
-7200	57.74
-7152	58.0733
-7104	59.0767
-7056	60.1533
-7008	60.96
-6960	60.6867
-6912	61.2833
-6864	61.0767
-6816	60.5433
-6768	59.0567
-6720	57.8333
-6672	57.2967
-6624	57.7333
-6576	58.5233
-6528	60.09
-6480	61.5167
-6432	61.6767
-6384	61.78
-6336	61.0067
-6288	59.8267
-6240	58.8233
-6192	57.37
-6144	56.7367
-6096	57.21
-6048	58.1833
-6000	59.5033
-5952	61.26
-5904	62.4633
-5856	62.6133
-5808	61.83
-5760	59.9367
-5712	58.4867
-5664	56.71
-5616	56.1933
-5568	56.1067
-5520	58.0933
-5472	59.9033
-5424	62.0167
-5376	63.25
-5328	63.3567
-5280	62.5433
-5232	60.8667
-5184	57.71
-5136	55.9667
-5088	55.1333
-5040	54.6167
-4992	56.35
-4944	59.7533
-4896	61.3133
-4848	64.49
-4800	64.96
-4752	63.07
-4704	61.3067
-4656	59.35
-4608	54.4833
-4560	53.5267
-4512	53.6433
-4464	55.9267
-4416	60.27
-4368	62.7433
-4320	65.8433
-4272	66.74
-4224	64.7833
-4176	61.3
-4128	58.3933
-4080	54.5467
-4032	51.27
-3984	52.3433
-3936	54.7867
-3888	60.6133
-3840	66.9167
-3792	67.94
-3744	68.8367
-3696	67.7933
-3648	59.3233
-3600	55.71
-3552	51.8533
-3504	48.9567
-3456	50.5967
-3408	53.84
-3360	60.6033
-3312	66.0433
-3264	70.9667
-3216	70.9733
-3168	69.05
-3120	62.0933
-3072	56.6267
-3024	51.7767
-2976	46.41
-2928	46.77
-2880	53.7433
-2832	59.6167
-2784	67.0667
-2736	72.9433
-2688	73.8467
-2640	70.2933
-2592	66.4867
-2544	53.3433
-2496	44.96
-2448	43.1633
-2400	44.3267
-2352	48.5667
-2304	59.7567
-2256	62.9567
-2208	75.9133
-2160	77.6067
-2112	71.5567
-2064	63.6167
-2016	51.1633
-1968	44.99
-1920	39.6767
-1872	39.69
-1824	46.8833
-1776	55.7767
-1728	65.4867
-1680	78.5267
-1632	78.2733
-1584	80.76
-1536	62.9867
-1488	53.8967
-1440	46.72
-1392	36.9233
-1344	38.4133
-1296	45.4433
-1248	50.36
-1200	54.9167
-1152	78.0633
-1104	83.51
-1056	83.62
-1008	73.4833
-960	54.3867
-912	46.86
-864	37.7967
-816	33.7467
-768	39.6367
-720	45.43
-672	59.0633
-624	74.42
-576	84.9633
-528	84.76
-480	79.6167
-432	75.7033
-384	62.5267
-336	42.0533
-288	35.5467
-240	32.8333
-192	37.5533
-144	52.3667
-96	63.5267
-48	78.1667
0	84.8067
48	84.0167
96	81.91
144	77.0167
192	47.8833
240	40.9533
288	34.51
336	35.5833
384	47.4033
432	55.27
480	71.0767
528	78.7033
576	84.79
624	80.68
672	76.5833
720	59.7533
768	47.02
816	38.76
864	34.3667
912	41.0833
960	52.0933
1008	67.31
1056	76.0167
1104	82.22
1152	76.1533
1200	74.5433
1248	61.4833
1296	47.3067
1344	39.4633
1392	37.26
1440	42.51
1488	50.3333
1536	65.4367
1584	72.39
1632	77.6433
1680	79.7867
1728	75.3467
1776	66.6633
1824	56.2667
1872	44.9233
1920	40.94
1968	41.3367
2016	49.0067
2064	55.0867
2112	68.73
2160	74.49
2208	76.2867
2256	74.39
2304	63.7767
2352	59.0867
2400	51.0133
2448	44.91
2496	44.7433
2544	47.7567
2592	54.6633
2640	59.0433
2688	70.9333
2736	73.08
2784	72.7967
2832	67.2533
2880	57.27
2928	52.6733
2976	47.92
3024	47.2967
3072	51.5967
3120	58.1633
3168	59.53
3216	65.3567
3264	69.9333
3312	69.0267
3360	66.2733
3408	59.8533
3456	53.7633
3504	50.2933
3552	50.48
3600	52.0633
3648	57.4333
3696	63.5333
3744	66.1133
3792	67.2667
3840	66.7167
3888	61.33
3936	58.07
3984	55.5533
4032	52.4
4080	52.5933
4128	53.9933
4176	57.23
4224	62.1867
4272	64.9433
4320	65.7067
4368	65.57
4416	61.1733
4464	57.5967
4512	55.8567
4560	54.2667
4608	54.9
4656	56.2033
4704	58.5467
4752	61.0467
4800	64.0233
4848	64.3967
4896	63.9733
4944	61.7933
4992	58.6533
5040	56.5767
5088	55.6667
5136	55.29
5184	56.7467
5232	58.79
5280	60.53
5328	62.41
5376	63.1067
5424	62.8433
5472	60.8167
5520	59.5533
5568	57.15
5616	56.2067
5664	56.34
5712	57.1267
5760	59.1833
5808	60.99
5856	62.07
5904	62.2967
5952	62.0133
6000	60.3333
6048	60.0667
6096	58.24
6144	57.2367
6192	57.0367
6240	56.99
6288	58.9333
6336	61.4133
6384	61.6967
6432	61.47
6480	60.9533
6528	59.8333
6576	60.2567
6624	59.83
6672	58.65
6720	57.57
6768	58.16
6816	59.1967
6864	60.3167
6912	61.0467
6960	61.1733
7008	61.23
7056	60.4767
7104	59.29
7152	58.88
7200	58.66
7248	58.1067
7296	58.5667
7344	59.1933
7392	59.83
7440	60.4233
7488	60.7433
7536	60.5733
7584	60.26
7632	59.4367
7680	58.6633
7728	58.49
7776	58.44
7824	58.57
7872	59.14
7920	59.7633
7968	59.7333
8016	60.55
8064	60.6433
8112	59.8633
8160	59.6767
8208	59.07
8256	58.6833
8304	58.77
8352	59.0633
8400	59.04
8448	59.3833
8496	59.9233
8544	60.2033
8592	60.12
8640	59.7433
8688	59.5333
8736	59
8784	58.8467
8832	58.9133
8880	58.9533
8928	59
8976	59.2033
9024	59.69
9072	59.8533
9120	60.0933
9168	59.9567
9216	59.5133
9264	59.1667
9312	59.1467
9360	58.9867
9408	59.1167
9456	59.23
9504	59.26
9552	59.3533
9600	59.7233
9648	59.8467
9696	60.0033
9744	59.41
9792	59.35
9840	58.9133
9888	59.1767
9936	59.06
9984	59.2867
10032	59.48
10080	59.4567
10128	59.3833
10176	59.91
10224	59.7267
10272	59.68
10320	59.2667
10368	59.2667
10416	58.7567
10464	58.97
10512	59.2233
10560	59.6633
10608	59.52
10656	59.5433
10704	59.4567
10752	59.66
10800	59.8667
10848	59.5367
10896	59.2267
10944	59.0067
10992	59.1433
11040	59.3067
11088	59.32
11136	59.8033
11184	59.5433
