Path difference [nm]	Intensity [a.u.]
-36912	13.1733
-36864	13.0933
-36816	10.5133
-36768	12.0033
-36720	11.7967
-36672	13.37
-36624	10.17
-36576	12.6267
-36528	14.6433
-36480	11.0333
-36432	11.7667
-36384	12.2367
-36336	13.37
-36288	14.4467
-36240	15.33
-36192	13.1833
-36144	14.3533
-36096	12.13
-36048	11.4767
-36000	13.1367
-35952	14.6467
-35904	13.6033
-35856	11.0267
-35808	12.3333
-35760	11.8467
-35712	14.7767
-35664	11.5733
-35616	11.2833
-35568	13.7233
-35520	12.58
-35472	12.15
-35424	13.43
-35376	13.7467
-35328	13.8867
-35280	12.7567
-35232	15.3633
-35184	10.6233
-35136	13.08
-35088	10.5167
-35040	13.6567
-34992	12.9433
-34944	14.1867
-34896	13.8033
-34848	13.0567
-34800	12.78
-34752	10.1167
-34704	13.26
-34656	11.8733
-34608	14.9433
-34560	11.5233
-34512	12.2333
-34464	14.6667
-34416	10.4267
-34368	11.34
-34320	10.17
-34272	14.5233
-34224	13.87
-34176	10.89
-34128	12.1967
-34080	11.9767
-34032	13.7833
-33984	13.9667
-33936	12.8967
-33888	11.8333
-33840	13.8433
-33792	13.3467
-33744	12.3
-33696	12.24
-33648	14.0367
-33600	12.6467
-33552	10.68
-33504	11.5467
-33456	12.7933
-33408	13.17
-33360	12.4333
-33312	9.8067
-33264	13.11
-33216	12.01
-33168	13.9867
-33120	14.33
-33072	11.63
-33024	13.4767
-32976	13.8333
-32928	15.4333
-32880	14.0167
-32832	12.8667
-32784	11.0433
-32736	12.3367
-32688	14.8033
-32640	15.4367
-32592	15.5133
-32544	14.65
-32496	13.36
-32448	11.54
-32400	9.92
-32352	13.8533
-32304	13.9367
-32256	12.64
-32208	12.3833
-32160	11.78
-32112	14.73
-32064	13.5633
-32016	15.0867
-31968	11.7033
-31920	15.7667
-31872	13.8033
-31824	14.6
-31776	11.6967
-31728	13.1333
-31680	14.6067
-31632	11.36
-31584	12.9967
-31536	14.28
-31488	14.2867
-31440	12.42
-31392	14.2433
-31344	13.08
-31296	11.5867
-31248	12.7933
-31200	14.3233
-31152	10.7367
-31104	11.9867
-31056	12.3667
-31008	14.0933
-30960	14.94
-30912	10.4767
-30864	12.9033
-30816	14.4667
-30768	13.0633
-30720	11.8
-30672	13.1633
-30624	12.1133
-30576	9
-30528	11.7933
-30480	15.0167
-30432	13.7567
-30384	12.9633
-30336	10.19
-30288	12.89
-30240	13.13
-30192	14.93
-30144	12.0833
-30096	11.0333
-30048	8.8767
-30000	10.8267
-29952	12.2767
-29904	13.2233
-29856	10.27
-29808	11.4533
-29760	13.65
-29712	12.9633
-29664	12.3067
-29616	13.3133
-29568	9.8467
-29520	11.97
-29472	11.5667
-29424	13.0967
-29376	12.2767
-29328	11.27
-29280	11.6233
-29232	11.8633
-29184	14.32
-29136	13.9833
-29088	14.58
-29040	13.2933
-28992	13.5
-28944	15.4433
-28896	15.56
-28848	13.33
-28800	14.6067
-28752	11.4733
-28704	9.9167
-28656	11.74
-28608	13.7
-28560	15.3633
-28512	14.33
-28464	12.9767
-28416	9.9133
-28368	10.75
-28320	11.8667
-28272	10.8167
-28224	10.5633
-28176	16.5733
-28128	12.01
-28080	12.7667
-28032	14.21
-27984	10.9067
-27936	9.58
-27888	13.99
-27840	12.8933
-27792	10.7233
-27744	13.2
-27696	13.6567
-27648	14
-27600	11.37
-27552	11.41
-27504	11.7133
-27456	8.1467
-27408	12.8267
-27360	12.0067
-27312	13.8133
-27264	12.5033
-27216	11.78
-27168	12.2133
-27120	10.5367
-27072	12.4133
-27024	11.6167
-26976	10.7133
-26928	9.0933
-26880	12.2333
-26832	13.25
-26784	13.6833
-26736	13.66
-26688	14.55
-26640	12.3567
-26592	11.1433
-26544	14.5733
-26496	12.58
-26448	11.97
-26400	10.2267
-26352	12.9167
-26304	13.58
-26256	12.4867
-26208	13.7133
-26160	13.2533
-26112	13.5133
-26064	11.7033
-26016	11.9233
-25968	15.34
-25920	13.49
-25872	11.3033
-25824	12.7967
-25776	13.07
-25728	15.5367
-25680	12.7933
