Path difference [nm]	Intensity [a.u.]
0	62.45
48	62.3967
96	62.35
144	62.53
192	62.5067
240	62.5933
288	62.5067
336	62.56
384	62.4633
432	62.4867
480	62.4533
528	62.3433
576	62.5033
624	62.3267
672	62.42
720	62.5133
768	62.47
816	62.5267
864	62.66
912	62.4667
960	62.61
1008	62.65
1056	62.52
1104	62.4433
1152	62.3167
1200	62.2933
1248	62.4433
1296	62.5867
1344	62.4867
1392	62.5033
1440	62.6
1488	62.67
1536	62.61
1584	62.51
1632	62.56
1680	62.48
1728	62.4333
1776	62.3767
1824	62.4133
1872	62.5033
1920	62.4367
1968	62.58
2016	62.5933
2064	62.6633
2112	62.57
2160	62.46
2208	62.4733
2256	62.45
2304	62.5233
2352	62.2933
2400	62.35
2448	62.45
2496	62.4267
2544	62.4067
2592	62.54
2640	62.5833
2688	62.4
2736	62.43
2784	62.3767
2832	62.4233
2880	62.5067
2928	62.52
2976	62.3367
3024	62.5167
3072	62.3367
3120	62.4133
3168	62.2667
3216	62.3267
3264	62.4367
3312	62.51
3360	62.6333
3408	62.5633
3456	62.5467
3504	62.4533
3552	62.43
3600	62.4367
3648	62.18
3696	62.1733
3744	62.46
3792	62.4333
3840	62.5433
3888	62.6433
3936	62.6133
3984	62.7067
4032	62.4133
4080	62.4
4128	62.41
4176	62.5167
4224	62.39
4272	62.3967
4320	62.4567
4368	62.4133
4416	62.4867
4464	62.4767
4512	62.5033
4560	62.38
4608	62.4933
4656	62.3833
4704	62.5133
4752	62.5933
4800	62.4667
4848	62.5367
4896	62.4467
4944	62.35
4992	62.3667
5040	62.3133
5088	62.48
5136	62.4533
5184	62.5467
5232	62.6567
5280	62.5167
5328	62.3967
5376	62.3267
5424	62.3233
5472	62.2233
5520	62.2267
5568	62.2533
5616	62.4533
5664	62.6467
5712	62.44
5760	62.46
5808	62.5433
5856	62.4667
5904	62.36
5952	62.3433
6000	62.42
6048	62.4733
6096	62.5
6144	62.5133
6192	62.3233
6240	62.51
6288	62.3333
6336	62.3467
6384	62.25
6432	62.35
6480	62.45
6528	62.5633
6576	62.46
6624	62.6533
6672	62.6533
6720	62.5333
6768	62.3433
6816	62.24
6864	62.1567
6912	62.4233
6960	62.28
7008	62.47
7056	62.5367
7104	62.6233
7152	62.4967
7200	62.3333
7248	62.2
7296	62.3267
7344	62.3067
7392	62.37
7440	62.24
7488	62.47
7536	62.64
7584	62.5
7632	62.3667
7680	62.34
7728	62.38
7776	62.3033
7824	62.28
7872	62.3267
7920	62.5167
7968	62.56
8016	62.4533
8064	62.51
8112	62.28
8160	62.3233
8208	62.1167
8256	62.2767
8304	62.5033
8352	62.5867
8400	62.6067
8448	62.5533
8496	62.44
8544	62.2433
8592	61.9567
8640	62.21
8688	62.3333
8736	62.3967
8784	62.49
8832	62.5067
8880	62.5733
8928	62.62
8976	62.38
9024	62.14
9072	62.0533
9120	62.2167
9168	62.37
9216	62.44
9264	62.4733
9312	62.7067
9360	62.53
9408	62.5833
9456	62.3667
9504	62.11
9552	62.0567
9600	62.23
9648	62.4133
9696	62.6833
9744	62.8067
9792	62.8
9840	62.6167
9888	62.22
9936	62.07
9984	61.9367
10032	62.0333
10080	62.18
10128	62.7233
10176	62.8633
10224	62.89
10272	62.6033
10320	62.44
10368	62.2033
10416	61.9167
10464	61.86
10512	62.06
10560	62.3933
10608	62.56
10656	62.87
10704	62.89
10752	62.7533
10800	62.6033
10848	62.0533
10896	61.7933
10944	62.02
10992	61.98
11040	62.5733
11088	62.6867
11136	62.8067
11184	62.91
11232	62.3367
11280	62.0267
11328	61.9533
11376	61.82
11424	61.9433
11472	62.2333
11520	62.4933
11568	62.61
11616	62.6567
11664	62.3933
11712	62.33
11760	62.4067
11808	62.2733
11856	62.23
11904	62.3333
11952	62.4033
12000	62.5033
12048	62.22
12096	62.01
12144	62.1867
12192	62.1067
12240	62.3433
12288	62.81
12336	63.0133
12384	63.1367
12432	62.9533
12480	62.74
12528	62.0733
12576	61.11
12624	61.0267
12672	61.27
12720	61.4867
12768	62.8133
12816	63.68
12864	64.0567
12912	63.7767
12960	62.6867
13008	61.8067
13056	61.3367
13104	60.71
13152	61.19
13200	62.5733
13248	62.8733
13296	63.5233
13344	63.53
13392	63.0667
13440	62.4033
13488	61.67
13536	61.5667
13584	62.12
13632	63.1
13680	63.4967
13728	64.6733
13776	64.28
13824	62.99
13872	60.3767
13920	57.99
13968	57.63
14016	58.1767
14064	59.51
14112	64.36
14160	67.9967
14208	69.3433
14256	70.1433
14304	69.8433
14352	66.9233
14400	61.8367
14448	54.62
14496	51.1133
14544	51.9267
14592	52.1833
14640	54.8567
14688	63.6967
14736	73.0167
14784	76.5267
14832	77
14880	74.9767
14928	68.6033
14976	58.9867
15024	51.7267
15072	43.22
15120	44.3767
15168	46.1267
15216	49.91
15264	63.1467
15312	78.2533
15360	85.4067
15408	86.2267
15456	76.5333
15504	73.98
15552	62.9733
15600	52.78
15648	34.5733
15696	33.5833
15744	40.5067
15792	42.1267
15840	60.37
15888	80.27
15936	92.55
15984	94.5733
16032	82.57
16080	75.1033
16128	67.48
16176	54.3867
16224	34.77
16272	32.6
16320	38.4567
16368	40.6233
16416	56.58
16464	74.2833
16512	81.71
16560	88.25
16608	81.16
16656	76.9967
16704	69.47
16752	61.83
16800	47.1167
16848	42.7167
16896	46.6067
16944	51.34
16992	61.8533
17040	69.9967
17088	70.0533
17136	74.5733
17184	76.6467
17232	70.7633
17280	65.8667
17328	64.27
17376	56.55
17424	51.1833
17472	50.7267
17520	53.2633
17568	60
17616	63.63
17664	66.9933
17712	69.1133
17760	70.8733
17808	66.31
17856	61.7067
17904	59.6267
17952	57.11
18000	56.8033
18048	56.6267
18096	58.0033
18144	63.55
18192	65.1633
18240	65.7267
18288	65.9033
