Path difference [nm]	Intensity [a.u.]
19536	36.0233
19584	37.5533
19632	38.9967
19680	40.8367
19728	42.5067
19776	42.7367
19824	42.0833
19872	40.8133
19920	38.1733
19968	36.7533
20016	35.68
20064	34.45
20112	34.52
20160	35.1233
20208	35.8467
20256	38.0033
20304	41
20352	41.8733
20400	42.45
20448	42.1667
20496	40.94
20544	39.3067
20592	38.3633
20640	36.2933
20688	34.91
20736	34.4667
20784	34.54
20832	36.0033
20880	38.2033
20928	39.8833
20976	40.7233
21024	42.1333
21072	42.32
21120	41.7833
21168	41.1267
21216	39.4467
21264	36.4933
21312	35.2967
21360	34.7567
21408	34.97
21456	36.1767
21504	37.49
21552	38.5
21600	40.33
21648	41.8467
21696	42.1667
21744	42
21792	40.3933
21840	38.4967
21888	37.0233
21936	35.9367
21984	34.86
22032	34.94
22080	35.5967
22128	36.32
22176	37.5133
22224	39.93
22272	41.37
22320	41.92
22368	41.5767
22416	40.8467
22464	39.3467
22512	37.8667
22560	36.5733
22608	35.28
22656	34.92
22704	34.98
22752	36.4367
22800	38.1733
22848	39.9433
22896	40.5267
22944	41.7533
22992	41.8833
23040	41.2167
23088	40.9633
23136	39.5833
23184	37.02
23232	35.6133
23280	35.24
23328	35.5267
23376	36.5667
23424	37.6433
23472	38.8667
23520	39.6967
23568	41.05
23616	41.5267
23664	41.6733
23712	40.07
23760	38.3833
23808	37.33
23856	36.5133
23904	35.4133
23952	35.3733
24000	35.5133
24048	36.0433
24096	37.7633
24144	39.6867
24192	41.2233
24240	41.4933
24288	41.0633
24336	40.2833
24384	39.4267
24432	38.4067
24480	36.78
24528	35.72
24576	35.4967
24624	35.3033
24672	35.92
24720	37.7167
24768	39.2433
24816	39.9567
24864	41.1267
24912	41.41
24960	41.2733
25008	41.09
25056	39.9067
25104	38
25152	36.6033
25200	35.7733
25248	35.6467
25296	36.2233
25344	36.9933
25392	37.3167
25440	38.5233
25488	40.1533
25536	40.8533
25584	41.22
25632	40.5
25680	39.2
25728	37.7733
25776	37.1
25824	36.5133
25872	35.83
25920	35.7667
25968	36.0467
26016	37.6567
26064	39.1767
26112	40.0933
26160	40.4067
26208	40.9633
26256	40.7633
26304	40.25
26352	39.25
26400	37.6667
26448	36.4133
26496	36.0433
26544	35.8933
26592	36.04
26640	37.1133
26688	38.1767
26736	38.8133
26784	40.49
26832	40.8667
26880	40.9033
26928	40.4367
26976	39.95
27024	38.35
27072	37.54
27120	36.7133
27168	35.9467
27216	36.0733
27264	36.7233
27312	37.33
27360	38.47
27408	40.1633
27456	40.4267
27504	40.7333
27552	40.7533
27600	39.7567
27648	38.6967
27696	38.2467
27744	36.9267
27792	36.3033
27840	36.1633
27888	36.2133
27936	36.88
27984	38.2367
28032	39.32
28080	39.8567
28128	40.5667
28176	40.65
28224	40.1633
28272	39.6933
28320	38.6733
28368	37.2667
28416	36.71
28464	36.3467
28512	36.34
28560	37.1167
28608	37.7967
28656	38.4433
28704	39.4767
28752	40.36
28800	40.4767
28848	40.44
28896	39.9933
28944	38.64
28992	37.7367
29040	37.1967
29088	36.4
29136	36.5167
29184	36.6867
29232	36.9567
29280	37.9367
29328	39.2633
29376	39.9033
29424	40.3467
29472	40.3467
29520	39.82
29568	39.44
29616	38.7633
29664	37.6833
29712	36.79
29760	36.56
29808	36.4533
29856	37.0267
29904	37.9833
29952	38.4233
30000	38.95

