Path difference [nm]	Intensity [a.u.]
-21264	25.69
-21216	25.7133
-21168	25.73
-21120	25.6867
-21072	25.6867
-21024	25.7467
-20976	25.78
-20928	25.7633
-20880	25.7333
-20832	25.7033
-20784	25.7133
-20736	25.7267
-20688	25.7367
-20640	25.6933
-20592	25.7233
-20544	25.64
-20496	25.68
-20448	25.7067
-20400	25.7033
-20352	25.78
-20304	25.7233
-20256	25.7667
-20208	25.69
-20160	25.7367
-20112	25.7467
-20064	25.7733
-20016	25.8367
-19968	25.7733
-19920	25.7667
-19872	25.7367
-19824	25.75
-19776	25.6967
-19728	25.7033
-19680	25.6933
-19632	25.75
-19584	25.6667
-19536	25.69
-19488	25.7367
-19440	25.72
-19392	25.7033
-19344	25.7167
-19296	25.68
-19248	25.7067
-19200	25.73
-19152	25.7233
-19104	25.79
-19056	25.7133
-19008	25.72
-18960	25.69
-18912	25.72
-18864	25.6967
-18816	25.6933
-18768	25.6667
-18720	25.6967
-18672	25.66
-18624	25.6933
-18576	25.71
-18528	25.6933
-18480	25.76
-18432	25.7833
-18384	25.7433
-18336	25.7733
-18288	25.7
-18240	25.7767
-18192	25.8
-18144	25.7433
-18096	25.6867
-18048	25.6333
-18000	25.7267
-17952	25.7133
-17904	25.71
-17856	25.75
-17808	25.74
-17760	25.7533
-17712	25.7867
-17664	25.74
-17616	25.8267
-17568	25.78
-17520	25.7267
-17472	25.71
-17424	25.7667
-17376	25.6967
-17328	25.7767
-17280	25.7533
-17232	25.72
-17184	25.7633
-17136	25.75
-17088	25.6433
-17040	25.6467
-16992	25.6733
-16944	25.7567
-16896	25.75
-16848	25.76
-16800	25.7133
-16752	25.7233
-16704	25.79
-16656	25.76
-16608	25.84
-16560	25.7633
-16512	25.7233
-16464	25.74
-16416	25.7567
-16368	25.7267
-16320	25.7067
-16272	25.67
-16224	25.6867
-16176	25.6533
-16128	25.68
-16080	25.7167
-16032	25.7233
-15984	25.7467
-15936	25.7067
-15888	25.7467
-15840	25.73
-15792	25.8267
-15744	25.8
-15696	25.75
-15648	25.7067
-15600	25.7333
-15552	25.6833
-15504	25.69
-15456	25.6867
-15408	25.6833
-15360	25.6667
-15312	25.7133
-15264	25.6867
-15216	25.78
-15168	25.7733
-15120	25.8467
-15072	25.7767
-15024	25.7133
-14976	25.7733
-14928	25.7733
-14880	25.78
-14832	25.75
-14784	25.6967
-14736	25.6667
-14688	25.6533
-14640	25.6767
-14592	25.7267
-14544	25.75
-14496	25.6933
-14448	25.7333
-14400	25.8067
-14352	25.7567
-14304	25.7867
-14256	25.8133
-14208	25.7133
-14160	25.7567
-14112	25.79
-14064	25.7433
-14016	25.7567
-13968	25.6467
-13920	25.6733
-13872	25.6633
-13824	25.76
-13776	25.73
-13728	25.7367
-13680	25.8
-13632	25.7633
-13584	25.84
-13536	25.85
-13488	25.7333
-13440	25.7033
-13392	25.7333
-13344	25.7033
-13296	25.7133
-13248	25.68
-13200	25.7133
-13152	25.68
-13104	25.6967
-13056	25.7133
-13008	25.79
-12960	25.79
-12912	25.69
-12864	25.7867
