Path difference [nm]	Intensity [a.u.]
-24000	59.47
-23952	59.7267
-23904	59.7267
-23856	59.7367
-23808	59.54
-23760	59.4
-23712	59.48
-23664	59.6167
-23616	59.59
-23568	59.5533
-23520	59.3967
-23472	59.2833
-23424	59.4333
-23376	59.4767
-23328	59.4967
-23280	59.3533
-23232	59.6533
-23184	59.55
-23136	59.5633
-23088	59.38
-23040	59.6633
-22992	59.66
-22944	59.38
-22896	59.4567
-22848	59.5233
-22800	59.6133
-22752	59.5267
-22704	59.4667
-22656	59.2933
-22608	59.3833
-22560	59.61
-22512	59.4067
-22464	59.5833
-22416	59.6267
-22368	59.56
-22320	59.3933
-22272	59.42
-22224	59.79
-22176	59.79
-22128	59.5233
-22080	59.6167
-22032	59.6067
-21984	59.4267
-21936	59.34
-21888	59.1833
-21840	59.44
-21792	59.59
-21744	59.3467
-21696	59.5433
-21648	59.5033
-21600	59.35
-21552	60.0733
-21504	59.6367
-21456	59.37
-21408	59.41
-21360	59.33
-21312	59.39
-21264	59.41
-21216	59.3167
-21168	59.13
-21120	59.5533
-21072	59.4033
-21024	59.3567
-20976	59.54
-20928	59.37
-20880	59.2867
-20832	59.44
-20784	59.4867
-20736	59.4767
-20688	59.56
-20640	59.6033
-20592	59.42
-20544	59.5133
-20496	59.45
-20448	59.54
-20400	59.2967
-20352	59.48
-20304	59.4
-20256	59.51
-20208	59.57
-20160	59.4067
-20112	59.5133
-20064	59.6267
-20016	59.6467
-19968	59.5467
-19920	59.53
-19872	59.5167
-19824	59.53
-19776	59.4567
-19728	59.6367
-19680	59.47
-19632	59.2767
-19584	59.5267
-19536	59.3967
-19488	59.5367
-19440	59.5667
-19392	59.5033
-19344	59.6733
-19296	59.7267
-19248	59.5333
-19200	59.3733
-19152	59.5767
-19104	59.54
-19056	59.35
-19008	59.5333
-18960	59.5767
-18912	59.43
-18864	59.68
-18816	59.4933
-18768	59.4967
-18720	59.4433
-18672	59.53
-18624	59.4833
-18576	59.39
-18528	59.6233
-18480	59.5833
-18432	59.64
-18384	59.62
-18336	59.83
-18288	59.7967
-18240	59.5433
-18192	59.58
-18144	59.5
-18096	59.5633
-18048	59.5933
-18000	59.4
-17952	59.51
-17904	59.5867
-17856	59.5967
-17808	59.69
-17760	59.4867
-17712	59.6933
-17664	59.6133
-17616	59.5367
-17568	59.6
-17520	59.44
-17472	59.4933
-17424	59.6133
-17376	59.56
-17328	59.5733
-17280	59.4167
-17232	59.6367
-17184	59.6067
-17136	59.37
-17088	59.67
-17040	59.49
-16992	59.6933
-16944	59.5067
-16896	59.4267
-16848	59.5933
-16800	59.42
-16752	59.4467
-16704	59.59
-16656	59.6833
-16608	59.4933
-16560	59.59
-16512	59.4067
-16464	59.5367
-16416	59.35
-16368	59.4733
-16320	59.6533
-16272	59.6167
-16224	59.5033
-16176	59.5667
-16128	59.6533
-16080	59.7167
-16032	59.7633
-15984	59.3733
-15936	59.4767
-15888	59.4733
-15840	59.5633
-15792	59.5467
-15744	59.48
-15696	59.4167
-15648	59.5567
-15600	59.79
-15552	59.47
-15504	59.5067
-15456	59.61
-15408	59.5567
-15360	59.64
-15312	59.5033
-15264	59.5167
-15216	59.5667
-15168	59.49
-15120	59.4867
-15072	59.6567
-15024	59.5367
-14976	59.3733
-14928	59.51
-14880	59.45
-14832	59.6067
-14784	59.5467
-14736	59.3533
-14688	59.63
-14640	59.7567
-14592	59.7633
-14544	59.6
-14496	59.5433
-14448	59.56
-14400	59.57
-14352	59.52
-14304	59.3033
-14256	59.4267
-14208	59.3033
-14160	59.63
-14112	59.4533
-14064	59.44
-14016	59.6267
-13968	59.71
-13920	59.67
-13872	59.6167
-13824	59.5867
-13776	59.6133
-13728	59.5867
-13680	59.5967
-13632	59.6267
-13584	59.5567
-13536	59.47
-13488	59.4467
-13440	59.3967
-13392	59.3967
-13344	59.58
-13296	59.4267
-13248	59.4033
-13200	59.6467
-13152	59.5767
-13104	59.7
-13056	59.5733
-13008	59.6033
-12960	59.3467
-12912	59.55
-12864	59.6933
-12816	59.4333
-12768	59.4267
-12720	59.8233
-12672	59.4267
-12624	59.6667
-12576	59.6033
-12528	59.5667
-12480	59.45
-12432	59.6567
-12384	59.74
-12336	59.6333
-12288	59.75
-12240	59.5133
-12192	59.6833
-12144	59.63
-12096	59.47
-12048	59.22
-12000	59.38
-11952	59.5933
-11904	59.72
-11856	59.5
-11808	59.74
-11760	59.91
-11712	59.7967
-11664	59.5633
-11616	59.5133
-11568	59.46
-11520	59.4933
-11472	59.49
-11424	59.3333
-11376	59.5
-11328	59.48
-11280	59.81
-11232	59.48
-11184	59.5267
-11136	59.7133
-11088	59.53
-11040	59.4267
-10992	59.5067
-10944	59.5133
-10896	59.6033
-10848	59.6367
-10800	59.7633
-10752	59.6833
-10704	59.4267
-10656	59.4633
-10608	59.2967
-10560	59.55
-10512	59.6667
-10464	59.5767
-10416	59.7267
-10368	59.6133
-10320	59.74
-10272	59.5567
-10224	59.3933
-10176	59.6567
-10128	59.25
-10080	59.49
-10032	59.4633
-9984	59.6333
-9936	59.9167
-9888	59.66
-9840	59.55
-9792	59.4167
-9744	59.5133
-9696	59.5233
-9648	59.4067
-9600	59.44
-9552	59.67
-9504	59.7767
-9456	59.7467
-9408	59.67
-9360	59.5967
-9312	59.3467
-9264	59.4533
-9216	59.2633
-9168	59.49
-9120	59.71
-9072	59.5833
-9024	59.62
-8976	59.8
-8928	59.7167
-8880	59.5667
-8832	59.4933
-8784	59.4
-8736	59.3567
-8688	59.4433
-8640	59.6033
-8592	59.5
-8544	59.7
-8496	59.6533
-8448	59.5333
-8400	59.2067
-8352	59.4633
-8304	59.4233
-8256	59.5067
-8208	59.6867
-8160	59.6133
-8112	59.7133
-8064	59.56
-8016	59.5667
-7968	59.34
-7920	59.0733
-7872	59.3267
-7824	59.5067
-7776	59.7233
-7728	59.88
-7680	59.7433
-7632	59.8167
-7584	59.9133
-7536	59.4667
-7488	59.3267
-7440	59.4233
-7392	59.1367
-7344	59.3567
-7296	59.55
-7248	59.7433
-7200	59.8033
-7152	59.8067
-7104	59.4867
