Path difference [nm]	Intensity [a.u.]
0	13.1067
48	12.6067
96	11.8333
144	14.98
192	15.5667
240	21.0067
288	15.46
336	14.15
384	13.5667
432	14.2033
480	16.1167
528	16.51
576	15.62
624	11.6667
672	12.4
720	15.37
768	14.33
816	15.0767
864	14.4767
912	15.0833
960	17.4533
1008	15.46
1056	18.05
1104	17.82
1152	14.7
1200	16.2833
1248	13.97
1296	16.65
1344	16.8633
1392	13.5967
1440	15.85
1488	15.6167
1536	11.8533
1584	13.2967
1632	14.78
1680	14.0633
1728	13.6733
1776	11.7367
1824	11.22
1872	11.5333
1920	12.0367
1968	16.7733
2016	12.48
2064	11.81
2112	17.9633
2160	10.7733
2208	8.6433
2256	9.9067
2304	13.8133
2352	9.08
2400	10.71
2448	13.1233
2496	12.9233
2544	16.8367
2592	16.8
2640	21.59
2688	17.7
2736	15.2
2784	17.7633
2832	12.83
2880	13.3967
2928	10.3367
2976	9.7367
3024	9.2667
3072	8.06
3120	10.2467
3168	13.29
3216	12.6033
3264	13.3
3312	13.7767
3360	14.2467
3408	13.8333
3456	14.94
3504	16.71
3552	16.4867
3600	8.8533
3648	3.51
3696	2.7133
3744	9.5933
3792	13.8033
3840	14.06
3888	14.3433
3936	6.56
3984	9.4067
4032	10.5533
4080	12.4967
4128	15.13
4176	13.3067
4224	14.2733
4272	13.7633
4320	15.9033
4368	13.1467
4416	21.0633
4464	15.9867
4512	17.88
4560	13.6667
4608	15.5833
4656	15.41
4704	13.9333
4752	15.59
4800	15.1433
4848	10.8133
4896	9.94
4944	8.6667
4992	11.2633
5040	14.18
5088	15.2133
5136	11.5533
5184	14.88
5232	12.95
5280	16.2267
5328	16.4233
5376	20.5133
5424	16.6133
5472	14.35
5520	13.9233
5568	13.3733
5616	13.8067
5664	13.42
5712	15.11
5760	15.0733
5808	9.8167
5856	12.4333
5904	12.0367
5952	12.2033
6000	14.8067
6048	14.1533
6096	17.4633
6144	19.1433
6192	16.5667
6240	14.7667
6288	16.3533
6336	14.1133
6384	11.6133
