Path difference [nm]	Intensity [a.u.]
-21264	49.8833
-21216	49.4767
-21168	47.5567
-21120	47.1233
-21072	45.0033
-21024	44.9467
-20976	43.0233
-20928	42.88
-20880	44.07
-20832	44.92
-20784	46.3533
-20736	47.7167
-20688	51.2233
-20640	49.3667
-20592	49.7633
-20544	49.5367
-20496	48.8167
-20448	45.7567
-20400	43.77
-20352	41.9233
-20304	42.4667
-20256	41.1067
-20208	43.7767
-20160	44.9833
-20112	48.0833
-20064	49.6733
-20016	49.07
-19968	50.28
-19920	51.17
-19872	50.89
-19824	48.4067
-19776	47.4
-19728	44.0367
-19680	42.4033
-19632	42.0967
-19584	42.5767
-19536	42.61
-19488	43.2967
-19440	47.0833
-19392	48.12
-19344	50.7833
-19296	54.09
-19248	57.67
-19200	58.43
-19152	56.9833
-19104	57.02
-19056	54.12
-19008	51.4367
-18960	49.7267
-18912	50.92
-18864	49.61
-18816	47.4133
-18768	46.1
-18720	47.1933
-18672	49.2633
-18624	50.2167
-18576	50.2333
-18528	51.6
-18480	49.0467
-18432	47.2633
-18384	44.3433
-18336	44.3
-18288	42.9633
-18240	42.9467
-18192	43.3167
-18144	43.9867
-18096	45.86
-18048	46.46
-18000	50.0167
-17952	51.02
-17904	52.3533
-17856	51.06
-17808	47.3933
-17760	47.5667
-17712	44.3833
-17664	43.7133
-17616	42.3433
-17568	43.13
-17520	42.73
-17472	43.53
-17424	46.2233
-17376	48.78
-17328	49.75
-17280	50.1067
-17232	50.6767
-17184	51.3367
-17136	49.8867
-17088	47.1967
-17040	43.0967
-16992	41.7767
-16944	41.7267
-16896	41.8267
-16848	43.2733
-16800	43.43
-16752	46.3733
-16704	49.8833
-16656	51.2067
-16608	52.9533
-16560	52.2867
-16512	48.6867
-16464	48.74
-16416	45.7267
-16368	42.91
-16320	41.7167
-16272	41.07
-16224	41.8833
-16176	44.2367
-16128	45.56
-16080	48.6167
-16032	50.08
-15984	51.5767
-15936	51.9733
-15888	51.9567
-15840	48.8833
-15792	48.12
-15744	43.72
-15696	41.2033
-15648	42.73
-15600	41.5733
-15552	42.9867
-15504	44.8467
-15456	45.2333
-15408	46.18
-15360	47.5833
-15312	50.92
-15264	52.05
-15216	51.3333
-15168	48.63
-15120	44.91
-15072	41.9533
-15024	42.6833
-14976	41.54
-14928	41.33
-14880	43.6533
-14832	46.0067
-14784	48.77
-14736	52.1033
-14688	51.23
-14640	52.0567
-14592	52.05
-14544	50.3267
-14496	46.95
-14448	44.97
-14400	42.8967
-14352	41.39
-14304	42.2433
-14256	41.6333
-14208	42.88
-14160	48.41
-14112	48.88
-14064	50.77
-14016	52.7733
-13968	51.6467
-13920	52.4667
-13872	49.9967
-13824	45.1833
-13776	43.4567
-13728	40.7667
-13680	41.4933
-13632	40.8467
-13584	44.0667
-13536	44.91
-13488	45.8633
-13440	49.7433
-13392	52.9767
-13344	51.6967
-13296	52.3233
-13248	50.1667
-13200	46.6167
-13152	43.8933
-13104	44.7833
-13056	41.9367
-13008	42.2167
-12960	41.2367
-12912	45.0233
-12864	45.86
-12816	49.97
-12768	50.2533
-12720	51.4333
-12672	53.99
-12624	50.6367
-12576	49.4367
-12528	47.54
-12480	43.2333
-12432	42.04
-12384	41.2133
-12336	40.4
-12288	42.8133
-12240	45.29
-12192	46.5267
-12144	48.8833
-12096	51.45
-12048	52.5467
-12000	52.4033
-11952	52.2767
-11904	50.3133
-11856	45.7667
-11808	43.5767
-11760	40.5267
-11712	39.29
-11664	41.39
-11616	41.2
-11568	43.69
-11520	48.49
-11472	50.4567
-11424	51.81
-11376	54.4767
-11328	52.8467
-11280	51.16
-11232	51.0033
-11184	48.51
-11136	44.0567
-11088	41.2
-11040	39.15
-10992	39.6933
-10944	41.4033
-10896	45.1467
-10848	47.4833
-10800	49.4133
-10752	50.13
-10704	52.5333
-10656	52.0333
-10608	53.26
-10560	50.5767
-10512	45.83
-10464	44.4733
-10416	40.7567
-10368	41.2667
-10320	40.8767
-10272	41.0433
-10224	44.6767
-10176	46.3
-10128	50.5333
-10080	50.97
-10032	52.85
-9984	52.61
-9936	49.5467
-9888	47.7833
-9840	44.3767
-9792	41.72
-9744	40.47
-9696	39.67
-9648	41.62
-9600	44.0133
-9552	47.33
-9504	49.79
-9456	49.56
-9408	53.6433
-9360	54.19
-9312	51.68
-9264	49.6333
-9216	47.7833
-9168	41.3367
-9120	41.02
-9072	38.5667
-9024	40.8567
-8976	42.3767
-8928	42.66
-8880	46.98
-8832	52.7533
-8784	53.67
-8736	53.6
-8688	53.6667
-8640	51.25
-8592	46.7267
-8544	44.4867
-8496	42.9267
-8448	40.2567
-8400	39.0467
-8352	40.94
-8304	42.88
-8256	44.9033
-8208	49.6767
-8160	50.7333
-8112	52.5533
-8064	52.8267
-8016	52.1667
-7968	49.2967
-7920	46.57
-7872	42.5367
-7824	40.8867
-7776	39.39
-7728	39.26
-7680	43.0933
-7632	46.85
-7584	48.5
-7536	48.9833
-7488	52.91
-7440	53.6833
-7392	53.0167
-7344	51.4267
-7296	47.02
-7248	42.83
-7200	40.2367
-7152	40.0767
-7104	38.87
-7056	41.71
-7008	41.8067
-6960	44.89
-6912	48.48
-6864	52.79
-6816	53.57
-6768	53.4267
-6720	50.7333
-6672	48.3567
-6624	44.9033
-6576	43.1333
-6528	40.3433
-6480	38.9833
-6432	39.54
-6384	40.0067
-6336	44.7933
-6288	48.12
-6240	49.8133
-6192	51.9767
-6144	52.7967
-6096	52.87
-6048	51.0733
-6000	47.3233
-5952	45.7767
-5904	39.5967
-5856	39.6767
-5808	39.1333
-5760	39.65
-5712	44.15
-5664	46.8267
-5616	49.1333
-5568	52.1767
-5520	54.47
-5472	54.1267
-5424	53.82
-5376	51.1267
-5328	45.9267
-5280	42.7267
-5232	40.01
-5184	38.12
-5136	40.4333
-5088	41.5967
-5040	43.3233
-4992	48.29
-4944	51.22
-4896	52.4967
-4848	54.0367
-4800	55.1067
-4752	52.1033
-4704	48.62
-4656	46.5533
-4608	41.9833
-4560	39.82
-4512	38.4267
-4464	38.4433
-4416	40.0967
-4368	43.7067
-4320	46.6967
-4272	48.2133
-4224	54.3667
-4176	54.6433
-4128	52.2133
-4080	52.49
-4032	47.0133
-3984	43.8833
-3936	42.71
-3888	39.5233
-3840	39.08
-3792	41.0767
-3744	43.0667
-3696	44.85
-3648	50.22
-3600	53.4967
-3552	54.77
-3504	54.8633
-3456	54.06
-3408	49.12
-3360	46.8267
-3312	43.3767
-3264	40.6867
-3216	38.11
-3168	40.2367
-3120	40.7633
-3072	44.1067
-3024	47.65
-2976	49.11
-2928	53.5867
-2880	54.9333
-2832	54.85
-2784	53.21
-2736	49.4167
-2688	46.3767
-2640	41.2633
-2592	41.0333
-2544	37.7933
-2496	37.79
